Substance	ISO	Country	Subnational code *	Subnational desc	Sector	Y_2017	Y_2018	Y_2019	Y_2020	Y_2021	Y_2022	Y_2023
GWP_100_AR5_GHG	AUT	Austria	AT32	Salzburg	Agriculture	472,4888757	464,0691396	457,4255332	453,2041493	455,266412	457,1197729	456,9939265
GWP_100_AR5_GHG	AUT	Austria	AT32	Salzburg	Buildings	646,426191	581,9262079	603,1844826	600,8764804	671,0722159	562,9065485	526,6883096
GWP_100_AR5_GHG	AUT	Austria	AT32	Salzburg	Energy	377,665593	343,0262252	349,9258718	327,6367899	384,0146895	353,198796	330,2488155
GWP_100_AR5_GHG	AUT	Austria	AT32	Salzburg	Indirect	17,84922729	16,99790933	16,41713355	14,44987506	14,73345988	13,35750195	12,48606075
GWP_100_AR5_GHG	AUT	Austria	AT32	Salzburg	Industry	1149,613634	1195,790858	1145,177203	1109,396858	1144,225896	1089,535051	1018,875973
GWP_100_AR5_GHG	AUT	Austria	AT32	Salzburg	Transport	1680,103754	1695,156759	1696,414997	1483,668479	1523,222412	1443,097779	1438,449272
GWP_100_AR5_GHG	AUT	Austria	AT32	Salzburg	Waste	95,08521314	99,94527237	101,4967113	101,3863605	104,493519	107,7715426	109,6007569
GWP_100_AR5_GHG	AUT	Austria	AT33	Tirol	Agriculture	539,5372814	531,2065594	523,7667098	518,7807924	521,54187	523,3472477	523,3923255
GWP_100_AR5_GHG	AUT	Austria	AT33	Tirol	Buildings	981,9686887	902,812821	936,0420429	930,4077122	1038,087379	869,3659482	823,4978155
GWP_100_AR5_GHG	AUT	Austria	AT33	Tirol	Energy	365,4217033	338,1490424	339,6720141	331,1985439	380,6603596	355,6347637	335,94067
GWP_100_AR5_GHG	AUT	Austria	AT33	Tirol	Indirect	29,10982347	27,72143197	26,77426041	23,56591159	24,02840242	21,78438974	20,36317979
GWP_100_AR5_GHG	AUT	Austria	AT33	Tirol	Industry	683,7446563	692,2575658	664,3782333	643,9883409	655,3071307	634,8308234	599,5701191
GWP_100_AR5_GHG	AUT	Austria	AT33	Tirol	Transport	2132,011543	2152,03577	2154,851787	1886,021427	1937,207382	1835,469448	1830,539136
GWP_100_AR5_GHG	AUT	Austria	AT33	Tirol	Waste	98,88311909	103,639774	105,3217969	105,2850771	108,6686972	112,2199663	114,599027
GWP_100_AR5_GHG	AUT	Austria	AT34	Vorarlberg	Agriculture	205,0730105	201,521167	198,7771446	197,0010208	197,8299307	198,4052988	198,3825583
GWP_100_AR5_GHG	AUT	Austria	AT34	Vorarlberg	Buildings	503,142726	450,5313774	470,7234883	465,043446	524,4559982	435,8566978	409,3924234
GWP_100_AR5_GHG	AUT	Austria	AT34	Vorarlberg	Energy	246,3175421	227,9340286	228,9606087	223,2489492	256,5893686	239,7205203	226,4454447
GWP_100_AR5_GHG	AUT	Austria	AT34	Vorarlberg	Indirect	6,739836137	6,418380007	6,199080116	5,456246847	5,563327965	5,043768726	4,714714095
GWP_100_AR5_GHG	AUT	Austria	AT34	Vorarlberg	Industry	240,3364848	242,658	236,2384162	222,8362491	222,6223269	217,1889571	203,0743918
GWP_100_AR5_GHG	AUT	Austria	AT34	Vorarlberg	Transport	828,9684584	835,2043796	834,3983739	728,1048928	746,3961292	707,06843	703,6527191
GWP_100_AR5_GHG	AUT	Austria	AT34	Vorarlberg	Waste	52,29562569	55,57918487	56,47630584	56,4620894	58,25463496	60,13683697	61,47337215
GWP_100_AR5_GHG	AUT	Austria	N/A		Dom_Avi	89,42274035	93,486497	77,43266515	50,08218209	49,25004969	54,35700578	59,94039006
GWP_100_AR5_GHG	AUT	Austria	N/A		Dom_Ship	73,82726717	80,37648796	89,67034534	24,73194275	96,21248433	116,9483826	110,7356122
GWP_100_AR5_GHG	AZE	Azerbaijan	N/A		Agriculture	9546,859919	9540,839766	9806,543405	9778,426493	9338,679815	9262,091916	9231,042635
GWP_100_AR5_GHG	AZE	Azerbaijan	N/A		Buildings	7316,634563	7611,239406	8560,560563	9384,047658	9770,108583	10375,70371	11426,62838
GWP_100_AR5_GHG	AZE	Azerbaijan	N/A		Dom_Avi	1005,91229	1195,959524	935,017179	412,775713	297,6972142	251,7225783	272,3910506
GWP_100_AR5_GHG	AZE	Azerbaijan	N/A		Dom_Ship	151,2902105	137,2464328	97,98755773	124,1600389	183,5271893	175,7005445	173,075885
GWP_100_AR5_GHG	AZE	Azerbaijan	N/A		Energy	12318,15736	12353,54617	12381,92943	12265,22369	13092,02873	13899,09611	15382,03324
